"","년도","학기","학번(입학연도)","class_number","소속","교과목번호","교과목명","이수구분","교직영역","선택영역","학점","등급","평가방식","평점","재수강"
"1","2012","1학기","12","s62","전자정보공학대학 컴퓨터공학과","004109","프로그래밍1","전필",NA,NA,"3","B0","GRADE","3.0",NA
"2","2014","2학기","12","s62","전자정보공학대학 컴퓨터공학과","003437","프로그래밍2","전필",NA,NA,"3","C+","GRADE","2.5",NA
"3","2015","1학기","12","s62","전자정보공학대학 컴퓨터공학과","005611","디지털논리회로","전필","기본이수",NA,"3","B+","GRADE","3.5",NA
"4","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","C+","GRADE","2.5",NA
"5","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","B+","GRADE","3.5",NA
"6","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","B0","GRADE","3.0",NA
"7","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","A0","GRADE","4.0",NA
"8","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","C+","GRADE","2.5",NA
"9","2012","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B0","GRADE","3.0",NA
"10","2012","2학기","12","s63","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A+","GRADE","4.5",NA
"11","2012","2학기","12","s63","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B0","GRADE","3.0",NA
"12","2013","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B0","GRADE","3.0",NA
"13","2013","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","A0","GRADE","4.0",NA
"14","2013","1학기","12","s63","전자정보공학대학 컴퓨터공학과","007589","기초프로그래밍설계","전선",NA,NA,"3","B+","GRADE","3.5",NA
"15","2013","2학기","12","s63","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전선",NA,NA,"3","B0","GRADE","3.0",NA
"16","2013","2학기","12","s63","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전선",NA,NA,"3","C0","GRADE","2.0",NA
"17","2013","2학기","12","s63","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A0","GRADE","4.0",NA
"18","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","003281","컴퓨터그래픽스","전선",NA,NA,"3","B0","GRADE","3.0",NA
"19","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","B+","GRADE","3.5",NA
"20","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","007219","데이터베이스","전선",NA,NA,"3","A0","GRADE","4.0",NA
"21","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","A0","GRADE","4.0",NA
"22","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","C0","GRADE","2.0",NA
"23","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","C+","GRADE","2.5",NA
"24","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","003272","컴파일러","전선",NA,NA,"3","B0","GRADE","3.0",NA
"25","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","B+","GRADE","3.5",NA
"26","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","005617","Unix프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"27","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","006564","닷넷프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"28","2012","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"29","2012","2학기","12","s64","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5",NA
"30","2012","2학기","12","s64","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B+","GRADE","3.5",NA
"31","2015","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B+","GRADE","3.5",NA
"32","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","A+","GRADE","4.5",NA
"33","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전선",NA,NA,"3","B0","GRADE","3.0",NA
"34","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A+","GRADE","4.5",NA
"35","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","006563","고급C프로그래밍","전필",NA,NA,"3","A0","GRADE","4.0",NA
"36","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","A0","GRADE","4.0","2015-1 004268 데이터구조론(학부)"
"37","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","A0","GRADE","4.0",NA
"38","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","005246","신호및시스템","전선",NA,NA,"3","B0","GRADE","3.0",NA
"39","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","007219","데이터베이스","전선",NA,NA,"3","B+","GRADE","3.5",NA
"40","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","B+","GRADE","3.5",NA
"41","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","A0","GRADE","4.0",NA
"42","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","A0","GRADE","4.0",NA
"43","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","A+","GRADE","4.5",NA
"44","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전선","기본이수",NA,"3","B+","GRADE","3.5",NA
"45","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","A+","GRADE","4.5",NA
"46","2016","겨울학기","12","s64","전자정보공학대학 컴퓨터공학과","008073","심화프로그래밍설계","전선",NA,NA,"3","B+","GRADE","3.5",NA
"47","2012","2학기","12","s65","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5","2012-1 004038 C프로그래밍(학부)"
"48","2012","2학기","12","s65","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","C+","GRADE","2.5",NA
"49","2013","1학기","12","s65","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","C0","GRADE","2.0",NA
"50","2013","1학기","12","s65","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","C0","GRADE","2.0",NA
"51","2013","1학기","12","s65","전자정보공학대학 컴퓨터공학과","007589","기초프로그래밍설계","전선",NA,NA,"3","C0","GRADE","2.0",NA
"52","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","B0","GRADE","3.0",NA
"53","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","B+","GRADE","3.5",NA
"54","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","C+","GRADE","2.5",NA
"55","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5",NA
"56","2012","2학기","12","s66","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","C+","GRADE","2.5",NA
"57","2015","1학기","12","s66","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5","2012-2 004038 C프로그래밍(학부)"
"58","2015","2학기","12","s66","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","B+","GRADE","3.5",NA
"59","2015","2학기","12","s66","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"60","2015","2학기","12","s66","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","B+","GRADE","3.5",NA
"61","2016","1학기","12","s66","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B+","GRADE","3.5",NA
"62","2016","1학기","12","s66","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","F","GRADE","0.0",NA
"63","2016","1학기","12","s66","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","C+","GRADE","2.5",NA
"64","2016","1학기","12","s66","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","C+","GRADE","2.5",NA
"65","2016","2학기","12","s66","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","B0","GRADE","3.0",NA
"66","2016","2학기","12","s66","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","C+","GRADE","2.5",NA
"67","2016","2학기","12","s66","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","C+","GRADE","2.5","2015-2 003276 컴퓨터구조론(학부)"
"68","2016","2학기","12","s66","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","C+","GRADE","2.5",NA
"69","2016","2학기","12","s66","전자정보공학대학 컴퓨터공학과","004599","통신시스템","전선",NA,NA,"3","C+","GRADE","2.5",NA
"70","2012","1학기","12","s67","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","A0","GRADE","4.0","2011-겨울 004038 C프로그래밍(학부)"
"71","2012","2학기","12","s67","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B+","GRADE","3.5",NA
"72","2014","1학기","12","s67","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","C0","GRADE","2.0",NA
"73","2014","1학기","12","s67","전자정보공학대학 컴퓨터공학과","006237","웹프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"74","2014","1학기","12","s67","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","C+","GRADE","2.5","2012-2 006473 C++프로그래밍(학부)"
"75","2014","2학기","12","s67","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","C+","GRADE","2.5",NA
"76","2014","2학기","12","s67","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","C0","GRADE","2.0",NA
"77","2014","2학기","12","s67","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","C0","GRADE","2.0",NA
"78","2015","1학기","12","s67","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","D+","GRADE","1.5",NA
"79","2015","1학기","12","s67","전자정보공학대학 컴퓨터공학과","007313","프로그래밍언어의개념","전선",NA,NA,"3","D+","GRADE","1.5",NA
"80","2016","2학기","12","s67","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","C0","GRADE","2.0",NA
"81","2016","2학기","12","s67","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","C+","GRADE","2.5",NA
"82","2016","2학기","12","s67","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","D+","GRADE","1.5",NA
"83","2016","2학기","12","s67","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","C+","GRADE","2.5",NA
"84","2016","2학기","12","s67","전자정보공학대학 컴퓨터공학과","006324","XML프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"85","2016","2학기","12","s67","전자정보공학대학 컴퓨터공학과","006564","닷넷프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"86","2012","1학기","12","s68","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5",NA
"87","2012","2학기","12","s68","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A+","GRADE","4.5",NA
"88","2012","2학기","12","s68","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B0","GRADE","3.0",NA
"89","2013","1학기","12","s68","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","B0","GRADE","3.0",NA
"90","2013","1학기","12","s68","전자정보공학대학 컴퓨터공학과","007589","기초프로그래밍설계","전선",NA,NA,"3","B0","GRADE","3.0",NA
"91","2015","2학기","12","s68","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","C+","GRADE","2.5",NA
"92","2015","2학기","12","s68","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","B0","GRADE","3.0",NA
"93","2015","2학기","12","s68","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","B+","GRADE","3.5",NA
"94","2016","1학기","12","s68","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","B+","GRADE","3.5",NA
"95","2016","1학기","12","s68","전자정보공학대학 컴퓨터공학과","006474","C#프로그래밍","전선",NA,NA,"3","B+","GRADE","3.5",NA
"96","2016","1학기","12","s68","전자정보공학대학 컴퓨터공학과","007219","데이터베이스","전선",NA,NA,"3","B0","GRADE","3.0",NA
"97","2016","1학기","12","s68","전자정보공학대학 컴퓨터공학과","007313","프로그래밍언어의개념","전선",NA,NA,"3","B+","GRADE","3.5",NA
"98","2016","1학기","12","s68","전자정보공학대학 컴퓨터공학과","007330","확률및통계","연선",NA,NA,"3","B+","GRADE","3.5",NA
"99","2016","여름학기","12","s68","전자정보공학대학 컴퓨터공학과","600017","색채심리와현대생활","연선",NA,"예술과생활","3","A+","GRADE","4.5",NA
"100","2016","2학기","12","s68","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전선",NA,NA,"3","B0","GRADE","3.0","2015-2 002010 알고리즘(학부)"
"101","2016","2학기","12","s68","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","B+","GRADE","3.5","2015-2 003284 컴퓨터네트워크(학부)"
"102","2016","2학기","12","s68","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A0","GRADE","4.0",NA
"103","2016","2학기","12","s68","전자정보공학대학 컴퓨터공학과","009487","ES-콜로키움","연선",NA,NA,"3","A0","GRADE","4.0",NA
"104","2016","2학기","12","s68","전자정보공학대학 컴퓨터공학과","009723","ES-콜라보레이션 크리에이티브","연선",NA,NA,"3","B+","GRADE","3.5",NA
"105","2016","2학기","12","s68","전자정보공학대학 컴퓨터공학과","009724","ES-빅데이터시각화","연선",NA,NA,"3","A0","GRADE","4.0",NA
"106","2016","겨울학기","12","s68","전자정보공학대학 컴퓨터공학과","008073","심화프로그래밍설계","전선",NA,NA,"3","B+","GRADE","3.5",NA
"107","2016","겨울학기","12","s68","전자정보공학대학 컴퓨터공학과","600020","음식과세계문화","연선",NA,"역사와문화","3","A+","GRADE","4.5",NA
"108","2012","2학기","12","s70","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5","2012-1 006473 C++프로그래밍(학부)"
"109","2012","2학기","12","s70","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B+","GRADE","3.5",NA
"110","2013","1학기","12","s70","전자정보공학대학 컴퓨터공학과","006237","웹프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"111","2013","2학기","12","s70","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","C0","GRADE","2.0",NA
"112","2013","2학기","12","s70","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"113","2013","2학기","12","s70","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","C+","GRADE","2.5",NA
"114","2016","1학기","12","s70","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B+","GRADE","3.5","2013-1 004118 디지털시스템(학부)"
"115","2016","1학기","12","s70","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","D0","GRADE","1.0","2013-1 004268 데이터구조론(학부)"
"116","2016","1학기","12","s70","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","C+","GRADE","2.5",NA
"117","2016","1학기","12","s70","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","C0","GRADE","2.0",NA
"118","2016","2학기","12","s70","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","C0","GRADE","2.0",NA
"119","2016","2학기","12","s70","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","C+","GRADE","2.5",NA
"120","2016","2학기","12","s70","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","F","GRADE","0.0","2013-2 002010 알고리즘(학부)"
"121","2016","2학기","12","s70","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","C+","GRADE","2.5",NA
"122","2016","2학기","12","s70","전자정보공학대학 컴퓨터공학과","004599","통신시스템","전선",NA,NA,"3","C0","GRADE","2.0",NA
"123","2012","1학기","12","s71","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A0","GRADE","4.0",NA
"124","2012","2학기","12","s71","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"125","2012","2학기","12","s71","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B+","GRADE","3.5",NA
"126","2013","1학기","12","s71","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","C+","GRADE","2.5",NA
"127","2013","1학기","12","s71","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","B0","GRADE","3.0",NA
"128","2013","1학기","12","s71","전자정보공학대학 컴퓨터공학과","006237","웹프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"129","2013","2학기","12","s71","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","C0","GRADE","2.0",NA
"130","2013","2학기","12","s71","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","C+","GRADE","2.5",NA
"131","2013","2학기","12","s71","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","B0","GRADE","3.0",NA
"132","2013","2학기","12","s71","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필",NA,NA,"3","C+","GRADE","2.5",NA
"133","2016","1학기","12","s72","전자정보공학대학 컴퓨터공학과","009912","C프로그래밍및실습","전필",NA,NA,"4","B0","GRADE","3.0","2012-1 004038 C프로그래밍(학부)"
"134","2012","1학기","12","s73","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A+","GRADE","4.5",NA
"135","2012","2학기","12","s73","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","C+","GRADE","2.5",NA
"136","2013","1학기","12","s73","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B0","GRADE","3.0",NA
"137","2013","1학기","12","s73","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","A+","GRADE","4.5",NA
"138","2013","2학기","12","s73","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","A+","GRADE","4.5",NA
"139","2013","2학기","12","s73","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","A+","GRADE","4.5",NA
"140","2013","2학기","12","s73","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","A0","GRADE","4.0",NA
"141","2013","2학기","12","s73","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A+","GRADE","4.5",NA
"142","2013","2학기","12","s73","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","B0","GRADE","3.0",NA
"143","2014","1학기","12","s73","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","B+","GRADE","3.5",NA
"144","2014","1학기","12","s73","전자정보공학대학 컴퓨터공학과","005246","신호및시스템","전선",NA,NA,"3","B+","GRADE","3.5",NA
"145","2014","1학기","12","s73","전자정보공학대학 컴퓨터공학과","006237","웹프로그래밍","전선",NA,NA,"3","A+","GRADE","4.5",NA
"146","2014","1학기","12","s73","전자정보공학대학 컴퓨터공학과","006474","C#프로그래밍","전선",NA,NA,"3","B+","GRADE","3.5",NA
"147","2014","1학기","12","s73","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","A+","GRADE","4.5",NA
"148","2012","1학기","12","s74","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","A0","GRADE","4.0",NA
"149","2014","2학기","12","s74","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","A0","GRADE","4.0",NA
"150","2014","2학기","12","s74","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A0","GRADE","4.0",NA
"151","2015","1학기","12","s74","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","A+","GRADE","4.5",NA
"152","2015","1학기","12","s74","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","A+","GRADE","4.5",NA
"153","2015","1학기","12","s74","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A0","GRADE","4.0","2012-2 006473 C++프로그래밍(학부)"
"154","2015","2학기","12","s74","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","A0","GRADE","4.0",NA
"155","2015","2학기","12","s74","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","A+","GRADE","4.5",NA
"156","2015","2학기","12","s74","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","B+","GRADE","3.5","2014-2 005636 멀티미디어(학부)"
"157","2015","2학기","12","s74","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전선",NA,NA,"3","B+","GRADE","3.5",NA
"158","2015","2학기","12","s74","전자정보공학대학 컴퓨터공학과","008073","심화프로그래밍설계","전선",NA,NA,"3","A+","GRADE","4.5",NA
"159","2016","1학기","12","s74","전자정보공학대학 컴퓨터공학과","002505","인공지능","전선",NA,NA,"3","A0","GRADE","4.0",NA
"160","2016","1학기","12","s74","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","A+","GRADE","4.5",NA
"161","2016","1학기","12","s74","전자정보공학대학 컴퓨터공학과","006132","영상처리","전선",NA,NA,"3","A0","GRADE","4.0",NA
"162","2016","1학기","12","s74","전자정보공학대학 컴퓨터공학과","006474","C#프로그래밍","전선",NA,NA,"3","A0","GRADE","4.0",NA
"163","2016","1학기","12","s74","전자정보공학대학 컴퓨터공학과","007219","데이터베이스","전선",NA,NA,"3","B+","GRADE","3.5",NA
"164","2016","1학기","12","s74","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","B0","GRADE","3.0",NA
"165","2016","2학기","12","s74","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","A0","GRADE","4.0",NA
"166","2016","2학기","12","s74","전자정보공학대학 컴퓨터공학과","003272","컴파일러","전선",NA,NA,"3","B+","GRADE","3.5",NA
"167","2016","2학기","12","s74","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전선","기본이수",NA,"3","B+","GRADE","3.5",NA
"168","2016","2학기","12","s74","전자정보공학대학 컴퓨터공학과","005617","Unix프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"169","2016","2학기","12","s74","전자정보공학대학 컴퓨터공학과","006566","지능형시스템","전선",NA,NA,"3","A+","GRADE","4.5",NA
"170","2016","2학기","12","s74","전자정보공학대학 컴퓨터공학과","010112","졸업연구및진로2","전선",NA,NA,"1","P","P/I","0.0",NA
"171","2012","1학기","12","s75","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5",NA
"172","2012","2학기","12","s75","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A+","GRADE","4.5",NA
"173","2013","1학기","12","s75","전자정보공학대학 컴퓨터공학과","006237","웹프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"174","2013","2학기","12","s75","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","B0","GRADE","3.0",NA
"175","2013","2학기","12","s75","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","B+","GRADE","3.5",NA
"176","2013","2학기","12","s75","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","A0","GRADE","4.0","2012-2 007311 공학설계기초(학부)"
"177","2016","1학기","12","s75","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","A0","GRADE","4.0","2013-1 004268 데이터구조론(학부)"
"178","2016","1학기","12","s75","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","A+","GRADE","4.5",NA
"179","2016","1학기","12","s75","전자정보공학대학 컴퓨터공학과","006474","C#프로그래밍","전선",NA,NA,"3","A+","GRADE","4.5",NA
"180","2016","1학기","12","s75","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","A+","GRADE","4.5",NA
"181","2016","2학기","12","s75","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","B+","GRADE","3.5",NA
"182","2016","2학기","12","s75","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","A+","GRADE","4.5",NA
"183","2016","2학기","12","s75","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","A0","GRADE","4.0",NA
"184","2016","2학기","12","s75","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","A+","GRADE","4.5",NA
"185","2016","2학기","12","s75","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A0","GRADE","4.0",NA
"186","2012","1학기","12","s76","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","FA","GRADE","0.0",NA
"187","2012","1학기","12","s77","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","A0","GRADE","4.0",NA
"188","2012","2학기","12","s77","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A+","GRADE","4.5",NA
