class_number,grade,Coding,Math,Teamwork,activity,등급
s1270,1.8333333333333333,1.8571428571428572,1.75,0.0,1.8333333333333333,Bronze
s1271,3.0,3.0,0.0,0.0,3.0,Bronze
s1272,2.1,2.1,0.0,0.0,2.1,Bronze
s1273,2.733333333333334,2.733333333333334,2.5,0.0,2.733333333333334,Bronze
s1274,2.6000000000000005,2.6000000000000005,0.0,0.0,2.6000000000000005,Bronze
s1275,2.9444444444444446,2.9444444444444446,0.0,0.0,2.9444444444444446,Bronze
s1276,3.5,3.5,0.0,0.0,3.5,Bronze
s1277,2.5,2.4285714285714284,3.0,0.0,2.5,Bronze
s1278,0.95,0.95,0.0,0.0,0.95,Bronze
s1279,2.222222222222222,2.222222222222222,0.0,0.0,2.222222222222222,Bronze
s128,3.3913043478260874,3.342105263157895,4.0,2.5,3.3913043478260874,Silver
s1280,3.0,3.0,0.0,0.0,3.0,Bronze
s1281,0.0,0.0,0.0,0.0,0.0,Bronze
s1282,2.5,2.53125,2.25,2.5,2.5,Bronze
s1283,3.0,3.0,0.0,0.0,3.0,Bronze
s1284,3.0555555555555554,3.071428571428572,3.0,3.0,3.0555555555555554,Silver
s1285,2.1333333333333333,2.3181818181818192,0.8333333333333335,4.0,2.1333333333333333,Bronze
s1286,2.0,0.0,0.0,2.0,2.0,Bronze
s1287,2.458333333333333,2.4499999999999997,2.0,3.0,2.458333333333333,Bronze
s1288,2.1875,2.0714285714285716,0.0,3.0,2.1875,Bronze
s1289,2.25,1.0,0.0,3.5,2.25,Bronze
s129,3.15625,3.25,2.5,2.5,3.15625,Bronze
s1290,2.166666666666667,2.222222222222222,2.0,2.0,2.166666666666667,Bronze
s1291,3.5,0.0,0.0,3.5,3.5,Bronze
s1292,4.5,4.5,4.5,4.5,4.5,Challenger
s1293,3.8928571428571437,3.8181818181818197,4.0,4.5,3.8928571428571437,Platinum
s1294,4.214285714285714,4.181818181818181,4.25,4.5,4.214285714285714,Platinum
s1295,2.3333333333333335,3.0,0.0,1.0,2.3333333333333335,Bronze
s1296,3.708333333333334,3.7999999999999994,2.5,4.0,3.708333333333334,Gold
s1297,1.5,1.5,0.0,0.0,1.5,Bronze
s1298,3.266666666666666,3.2307692307692317,3.0,4.0,3.266666666666666,Silver
s1299,3.714285714285715,3.727272727272727,3.25,4.5,3.714285714285715,Gold
s130,2.5799999999999987,2.5,2.0,4.5,2.5799999999999987,Bronze
s1300,3.0833333333333335,3.0,3.5,3.0,3.0833333333333335,Silver
s1301,2.125,2.166666666666667,2.0,2.0,2.125,Bronze
s1302,2.692307692307693,2.5909090909090904,3.0,3.5,2.692307692307693,Silver
s1303,1.5,1.25,0.0,3.0,1.5,Bronze
